player,course,previous total rounds,course experience,Player_initial_last,tournament id,player id,hole_par,strokes,n_rounds,made_cut,pos,tournament name,date,purse,season,no_cut,Finish,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
Beau Hossler,"Torrey Pines North - La Jolla, CA",18,Experienced,B. Hossler,401353234,6011,143,142,2,0,0.0,Farmers Insurance Open,2022-01-29,8.4,2022,0,CUT,-0.21,0.16,-0.35,0.19,-0.01,-0.39
Beau Hossler,"Waialae CC - Honolulu, HI",2,Novice,B. Hossler,401353204,6011,140,142,2,0,0.0,Sony Open in Hawaii,2022-01-16,7.5,2022,0,CUT,-2.21,0.47,-0.94,-0.18,-0.66,-2.87
Ben Crane,"Pebble Beach Resort - Pebble Beach, CA",6,Knowledgeable,B. Crane,401353235,693,215,217,3,1,0.0,AT&T Pebble Beach Pro-Am,2022-02-06,8.7,2022,0,CUT,0.77,-0.33,-2.49,-0.66,-3.47,-1.18
Ben Crane,"Port Royal GC - Southampton Parish, Bermuda",4,Novice,B. Crane,401353199,693,284,287,4,1,67.0,Bermuda Championship,2021-10-31,6.5,2022,0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Crane,"Sea Island Resort - Sea Island, GA",16,Experienced,B. Crane,401353202,693,142,143,2,0,0.0,The RSM Classic,2021-11-21,7.2,2022,0,CUT,0.24,-0.18,1.59,0.31,1.72,-1.67
Ben Martin,"Corales Puntacana GC - Punta Cana, Dominican Republic",8,Knowledgeable,B. Martin,401353294,4638,288,272,4,1,2.0,Corales Puntacana Resort & Club Championship,2022-03-27,3.7,2022,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Martin,"Grand Reserve Country Club - Rio Grande, Puerto Rico",8,Knowledgeable,B. Martin,401353253,4638,144,148,2,0,0.0,Puerto Rico Open,2022-03-06,3.7,2022,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Martin,"Harbour Town Golf Links - Hilton Head Island, SC",16,Experienced,B. Martin,401353231,4638,284,284,4,1,59.0,RBC Heritage,2022-04-17,8.0,2022,0,T59,0.47,0.54,-1.14,-0.42,-1.02,-0.55
Ben Martin,"Port Royal GC - Southampton Parish, Bermuda",2,Novice,B. Martin,401353199,4638,284,282,4,1,51.0,Bermuda Championship,2021-10-31,6.5,2022,0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Martin,"Silverado Resort - Napa, CA",8,Knowledgeable,B. Martin,401353193,4638,144,144,2,0,0.0,Fortinet Championship,2021-09-20,7.0,2022,0,CUT,-0.85,-0.74,0.7,0.12,0.07,-0.78
Ben Martin,"TPC Potomac at Avenel Farm - Potomac, MD",4,Novice,B. Martin,401353228,4638,280,288,4,1,51.0,Wells Fargo Championship,2022-05-08,9.0,2022,0,T51,-0.13,-0.25,-1.05,1.19,-0.11,-0.24
Ben Martin,"TPC San Antonio - San Antonio, TX",8,Knowledgeable,B. Martin,401353273,4638,288,289,4,1,63.0,Valero Texas Open,2022-04-03,8.6,2022,0,T63,0.19,-0.9,-0.42,0.54,-0.77,-0.58
Benjamin Silverman,"TPC Scottsdale - Scottsdale, AZ",4,Novice,B. Silverman,401353236,8910,142,141,2,0,0.0,Waste Management Phoenix Open,2022-02-13,8.2,2022,0,CUT,-0.61,0.03,-0.53,1.02,0.52,-0.08
Bernhard Langer,"Augusta National Golf Club - Augusta, GA",22,Experienced,B. Langer,401353232,261,144,152,2,0,0.0,Masters Tournament,2022-04-10,15.0,2022,0,CUT,-0.5,-0.42,-0.88,0.03,-1.28,-1.78
Bill Haas,"Colonial - Ft. Worth, TX",18,Experienced,B. Haas,401353225,774,280,280,4,1,27.0,Charles Schwab Challenge,2022-05-29,8.4,2022,0,T27,0.94,0.07,-0.24,0.11,-0.07,0.87
Bill Haas,"Corales Puntacana GC - Punta Cana, Dominican Republic",4,Novice,B. Haas,401353294,774,288,283,4,1,44.0,Corales Puntacana Resort & Club Championship,2022-03-27,3.7,2022,0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
Bill Haas,"Country Club of Jackson - Jackson, MS",12,Knowledgeable,B. Haas,401353194,774,144,141,2,0,0.0,Sanderson Farms Championship,2021-10-03,7.0,2022,0,CUT,-0.61,0.47,-0.48,0.28,0.27,-0.34
Bill Haas,"El Camaleon GC - Quintana Roo, Mexico",4,Novice,B. Haas,401353200,774,284,276,4,1,45.0,Mayakoba Golf Classic,2021-11-07,7.2,2022,0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
